,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Number,Side,Surname,TotalSpending
0,0001_01,1,0,2,39,0,0,1,0,0,1431,0
1,0002_01,0,0,2,24,0,1,5,0,1,2109,736
2,0003_01,1,0,2,58,1,0,0,0,1,1990,10383
3,0003_02,1,0,2,33,0,0,0,0,1,1990,5176
4,0004_01,0,0,2,16,0,1,5,1,1,1778,1091
5,0005_01,0,0,1,44,0,1,5,0,0,977,774
6,0006_01,0,0,2,26,0,1,5,2,1,1080,1584
7,0006_02,0,1,2,28,0,1,6,0,1,1080,0
8,0007_01,0,0,2,35,0,1,5,3,1,168,1018
9,0008_01,1,1,0,14,0,1,1,1,0,719,0
10,0008_02,1,1,2,34,0,1,1,1,0,719,0
11,0008_03,1,0,0,45,0,1,1,1,0,719,8157
12,0009_01,2,0,2,32,0,1,5,1,0,122,1309
13,0010_01,0,0,2,48,0,0,6,1,1,97,809
14,0011_01,0,0,2,28,0,1,5,2,0,167,1003
15,0012_01,0,0,2,31,0,0,8,82,2,1573,908
16,0014_01,2,0,0,27,0,0,5,3,0,636,1408
17,0015_01,0,0,0,24,0,0,5,4,0,1027,638
18,0016_01,2,1,2,45,0,1,5,5,0,2088,0
19,0017_01,0,0,2,0,0,1,6,0,0,251,0
20,0017_02,0,0,0,14,0,0,5,6,0,251,1092
21,0020_01,0,1,2,1,0,0,4,0,1,238,0
22,0020_02,0,1,0,49,0,0,4,0,1,238,0
23,0020_03,0,1,0,29,0,0,4,0,1,1262,0
24,0020_04,0,0,2,10,0,1,4,0,1,1082,0
25,0020_05,0,1,1,1,0,0,4,0,1,238,0
26,0020_06,0,0,2,7,0,0,4,0,1,1262,0
27,0022_01,2,0,2,21,0,0,3,0,0,2217,1051
28,0024_01,1,1,2,62,0,1,2,2,1,797,0
29,0025_01,0,0,2,15,0,0,5,6,1,257,1223
30,0026_01,1,0,0,34,0,0,2,0,0,2066,7861
31,0028_01,2,0,2,43,0,0,5,8,0,1236,1309
32,0030_01,0,0,2,32,0,0,6,4,1,1369,1821
33,0031_01,2,0,2,47,0,1,5,9,0,541,2854
34,0031_02,2,0,2,2,0,1,5,9,0,541,0
35,0031_03,2,0,2,20,0,1,5,9,0,541,2740
36,0034_01,1,1,0,28,0,1,3,1,1,1439,0
37,0035_01,2,0,0,23,0,0,3,1,0,306,2699
38,0036_01,0,0,0,15,0,0,5,8,1,1187,961
39,0038_01,0,0,0,20,0,0,5,10,1,2164,3355
40,0039_01,0,1,0,30,0,0,6,1,0,139,0
41,0041_01,0,1,2,17,0,1,6,2,0,1353,0
42,0043_01,1,0,2,45,0,0,1,3,0,534,3575
43,0044_01,0,1,2,55,0,0,6,3,0,479,0
44,0044_02,0,1,0,4,0,1,6,3,0,479,0
45,0044_03,0,1,1,21,0,1,6,3,0,479,0
46,0045_01,2,0,2,21,0,0,5,10,0,391,1214
47,0045_02,2,1,2,19,0,1,5,10,0,391,0
48,0050_01,0,0,0,35,0,0,4,1,1,1170,790
49,0051_01,0,0,2,56,0,0,4,2,1,1096,1618
50,0052_01,0,0,2,27,0,0,6,6,1,1024,4689
51,0053_01,0,0,2,25,0,1,5,11,1,970,1939
52,0056_01,1,0,2,2,0,1,0,1,1,2042,0
53,0056_02,1,1,2,38,0,1,0,1,1,2042,0
54,0056_03,1,0,2,27,0,1,0,1,1,2042,4547
55,0058_01,0,1,1,36,0,0,6,7,1,82,0
56,0061_01,0,0,2,22,0,0,5,12,1,1771,2667
57,0062_01,0,0,2,62,0,0,5,13,1,886,634
58,0064_01,2,1,2,15,0,1,5,14,1,2217,0
59,0064_02,0,1,2,33,0,1,4,3,1,1113,0
60,0066_01,0,0,2,62,0,0,6,6,0,1507,811
61,0067_01,0,1,1,0,0,1,6,10,1,1185,0
62,0067_02,0,0,2,18,0,1,6,10,1,1185,705
63,0067_03,0,0,0,21,0,0,5,15,1,1185,2007
64,0068_01,2,0,2,27,0,0,4,4,1,174,1048
65,0069_01,0,0,2,42,0,1,5,16,1,2217,902
66,0070_01,0,0,2,19,0,0,5,13,0,251,922
67,0071_01,0,0,2,17,0,0,5,14,0,584,2233
68,0072_01,0,0,2,14,0,0,5,17,1,238,1064
69,0073_01,2,0,1,37,0,0,3,3,0,1225,879
70,0074_01,1,0,2,42,0,1,2,3,1,1371,8904
71,0076_01,2,0,2,27,0,1,5,18,1,536,1165
72,0077_01,2,0,2,28,0,1,5,15,0,198,1309
73,0078_01,1,0,2,38,0,0,2,4,1,1566,15815
74,0081_01,0,1,2,13,0,0,6,13,1,2110,0
75,0082_01,2,0,2,42,0,0,5,16,0,543,7406
76,0082_02,2,1,2,2,0,1,5,16,0,543,0
77,0082_03,2,0,2,8,0,1,5,16,0,2217,0
78,0084_01,0,0,2,24,0,1,6,14,1,481,705
79,0085_01,1,1,2,40,0,1,2,5,1,642,0
80,0086_01,0,0,2,43,0,0,5,17,0,1140,1362
81,0088_01,2,1,1,45,0,1,4,5,1,1764,0
82,0090_01,0,1,2,35,0,1,6,15,1,1780,0
83,0091_01,0,1,2,26,0,1,6,16,1,2215,0
84,0091_02,0,0,2,27,0,0,5,20,1,2215,917
85,0092_01,0,0,2,19,0,0,6,9,0,626,705
86,0092_02,0,1,2,0,0,1,6,9,0,969,0
87,0092_03,0,1,2,3,0,1,6,9,0,969,0
88,0097_01,1,0,2,54,0,0,0,2,1,700,1848
89,0098_01,0,0,2,26,0,0,6,11,0,338,893
90,0098_02,0,0,2,26,0,1,6,11,0,338,3855
91,0099_01,0,0,1,23,0,0,5,19,0,1184,1301
92,0099_02,0,0,2,2,0,1,6,12,0,468,0
93,0101_01,2,1,2,31,0,1,8,82,2,2043,0
94,0102_01,0,0,2,18,0,0,5,23,1,990,921
95,0103_01,0,0,2,24,0,1,5,24,1,1276,17
96,0103_02,0,1,0,9,0,1,6,18,1,1276,0
97,0103_03,0,1,2,6,0,0,6,18,1,1276,0
98,0105_01,0,0,2,27,0,0,5,21,0,410,703
99,0107_01,2,0,2,21,0,0,3,2,1,929,1765
100,0108_01,0,1,2,23,0,0,6,19,1,914,0
101,0108_02,0,0,2,31,0,0,6,19,1,2217,888
102,0108_03,0,0,2,0,0,1,6,19,1,914,0
103,0110_01,1,0,2,32,0,0,8,82,2,26,5109
104,0110_02,1,0,2,40,0,0,1,5,0,212,2018
105,0110_03,1,0,2,42,0,1,1,5,0,26,15940
106,0110_04,1,1,2,28,0,1,1,5,0,26,0
107,0111_01,1,1,2,29,0,1,4,6,1,1984,0
108,0112_01,1,0,0,48,1,1,1,1,1,498,2654
109,0113_01,0,0,2,64,0,1,5,23,0,353,804
110,0114_01,0,0,2,27,0,0,6,20,1,151,907
111,0115_01,2,0,2,26,0,1,5,24,0,1500,0
112,0116_01,1,0,2,33,0,1,3,4,0,1987,2640
113,0119_01,0,0,2,39,0,0,0,0,0,465,9307
114,0119_02,1,1,2,13,0,1,0,0,0,465,0
115,0120_01,2,1,2,24,0,1,5,25,0,1764,0
116,0122_01,0,0,2,29,0,0,6,21,1,938,773
117,0123_01,0,0,2,18,0,0,5,27,0,702,702
118,0126_01,2,1,2,67,0,1,5,27,1,1333,0
119,0127_01,2,0,2,35,0,0,4,7,1,1311,1022
120,0128_01,2,0,2,61,1,0,3,3,1,723,3014
121,0128_02,2,0,2,45,0,0,4,8,1,723,2109
122,0129_01,0,1,1,22,0,1,6,22,1,753,0
123,0133_01,2,1,2,19,0,1,5,29,1,197,0
124,0133_02,2,0,2,36,0,0,3,5,1,197,2738
125,0134_01,0,0,2,19,0,1,6,17,0,925,744
126,0136_01,0,0,1,47,0,0,6,23,1,2217,721
127,0138_01,0,1,2,13,0,1,6,18,0,814,0
128,0138_02,0,0,2,34,0,0,4,5,0,814,793
129,0139_01,1,1,0,35,0,1,2,6,1,1385,0
130,0140_01,0,1,2,24,0,1,6,19,0,1290,0
131,0140_02,0,0,2,26,0,0,5,29,0,2168,902
132,0141_01,2,0,2,31,0,0,5,30,0,931,97
133,0144_01,0,0,2,20,0,1,5,31,1,552,630
134,0146_01,0,0,2,56,0,0,6,25,1,2195,0
135,0147_01,0,1,2,50,0,1,6,26,1,1023,0
136,0148_01,2,0,2,42,0,0,5,31,0,1489,1158
137,0149_01,0,1,0,27,0,1,6,27,1,1023,0
138,0151_01,0,1,0,38,0,0,6,20,0,1851,0
139,0152_01,0,0,2,41,0,0,5,32,0,668,607
140,0160_01,0,0,2,22,0,0,6,22,0,76,4180
141,0163_01,1,1,2,26,0,1,1,8,0,968,0
