,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Total_Spending,Deck,Num,Side
0,1,0,0,39,0,0,0,3,0,1
1,0,0,0,24,0,1,736,0,0,0
2,1,0,0,58,1,0,10383,6,0,0
3,1,0,0,33,0,0,5176,6,0,0
4,0,0,0,16,0,1,1091,0,1,0
5,0,0,2,44,0,1,774,0,0,1
6,0,0,0,26,0,1,1584,0,2,0
7,0,1,0,28,0,1,0,1,0,0
8,0,0,0,35,0,1,1018,0,3,0
9,1,1,1,14,0,1,0,3,1,1
10,1,1,0,34,0,1,0,3,1,1
11,1,0,1,45,0,1,8157,3,1,1
12,2,0,0,32,0,1,1309,0,1,1
13,0,0,0,48,0,0,809,1,1,0
14,0,0,0,28,0,1,1003,0,2,1
15,0,0,0,31,0,0,908,1,734,0
16,2,0,1,27,0,0,1408,0,3,1
17,0,0,1,24,0,0,638,0,4,1
18,2,1,0,45,0,1,0,0,5,1
19,0,0,0,0,0,1,0,1,0,1
20,0,0,1,14,0,0,1092,0,6,1
21,0,1,0,1,0,0,0,2,0,0
22,0,1,1,49,0,0,0,2,0,0
23,0,1,1,29,0,0,0,2,0,0
24,0,0,0,10,0,1,0,2,0,0
25,0,1,2,1,0,0,0,2,0,0
26,0,0,0,7,0,0,0,2,0,0
27,2,0,0,21,0,0,1051,5,0,1
28,1,1,0,62,0,1,0,4,2,0
29,0,0,0,15,0,0,1223,0,6,0
30,1,0,1,34,0,0,7861,4,0,1
31,2,0,0,43,0,0,1309,0,8,1
32,0,0,0,32,0,0,1821,1,4,0
33,2,0,0,47,0,1,2854,0,9,1
34,2,0,0,2,0,1,0,0,9,1
35,2,0,0,20,0,1,2740,0,9,1
36,1,1,1,28,0,1,0,5,1,0
37,2,0,1,23,0,0,2699,5,1,1
38,0,0,1,15,0,0,961,0,8,0
39,0,0,1,20,0,0,3355,0,10,0
40,0,1,1,30,0,0,0,1,1,1
41,0,1,0,17,0,1,0,1,2,1
42,1,0,0,45,0,0,3575,3,3,1
43,0,1,0,55,0,0,0,1,3,1
44,0,1,1,4,0,1,0,1,3,1
45,0,1,2,21,0,1,0,1,3,1
46,2,0,0,21,0,0,1214,0,10,1
47,2,1,0,19,0,1,0,0,10,1
48,0,0,1,35,0,0,790,2,1,0
49,0,0,0,56,0,0,1618,2,2,0
50,0,0,0,24,0,0,4689,1,6,0
51,0,0,0,25,0,1,1939,0,11,0
52,1,0,0,2,0,1,0,6,1,0
53,1,1,0,38,0,1,0,6,1,0
54,1,0,0,27,0,1,4547,6,1,0
55,0,1,2,36,0,0,0,1,7,0
56,0,0,0,22,0,0,2667,0,12,0
57,0,0,0,62,0,0,634,0,13,0
58,2,1,0,15,0,1,0,0,14,0
59,0,1,0,33,0,1,0,2,3,0
60,0,0,0,62,0,0,811,1,6,1
61,0,1,2,0,0,1,0,1,10,0
62,0,0,0,18,0,1,705,1,10,0
63,0,0,1,21,0,0,2007,0,15,0
64,2,0,0,24,0,0,1048,2,4,0
65,0,0,0,42,0,1,902,0,16,0
66,0,0,0,19,0,0,922,0,13,1
67,0,0,0,17,0,0,2233,0,14,1
68,0,0,0,14,0,0,1064,0,17,0
69,2,0,2,37,0,0,879,5,3,1
70,1,0,0,42,0,1,8904,4,3,0
71,2,0,0,27,0,1,1165,0,18,0
72,2,0,0,28,0,1,1309,0,15,1
73,1,0,0,38,0,0,15815,4,4,0
74,0,1,0,13,0,0,0,1,13,0
75,2,0,0,42,0,0,7406,0,16,1
76,2,1,0,2,0,1,0,0,16,1
77,2,0,0,8,0,1,0,0,16,1
78,0,0,0,24,0,1,705,1,14,0
79,1,1,0,40,0,1,0,4,5,0
80,0,0,0,43,0,0,1362,0,17,1
81,2,1,2,45,0,1,0,2,5,0
82,0,1,0,35,0,1,0,1,15,0
83,0,1,0,26,0,1,0,1,16,0
84,0,0,0,27,0,0,917,0,20,0
85,0,0,0,19,0,0,705,1,9,1
86,0,1,0,0,0,1,0,1,9,1
87,0,1,0,3,0,1,0,1,9,1
88,1,0,0,54,0,0,1848,6,2,0
89,0,0,0,26,0,0,893,1,11,1
90,0,0,0,26,0,1,3855,1,11,1
91,0,0,2,23,0,0,1301,0,19,1
92,0,0,0,2,0,1,0,1,12,1
93,2,1,0,31,0,1,0,1,734,0
94,0,0,0,18,0,0,921,0,23,0
95,0,0,0,24,0,1,17,0,24,0
96,0,1,1,9,0,1,0,1,18,0
97,0,1,0,6,0,0,0,1,18,0
98,0,0,0,27,0,0,703,0,21,1
99,2,0,0,21,0,0,1765,5,2,0
100,0,1,0,23,0,0,0,1,19,0
101,0,0,0,31,0,0,888,1,19,0
102,0,0,0,0,0,1,0,1,19,0
103,1,0,0,32,0,0,5109,1,734,0
104,1,0,0,40,0,0,2018,3,5,1
105,1,0,0,42,0,1,15940,3,5,1
106,1,1,0,28,0,1,0,3,5,1
107,1,1,0,29,0,1,0,2,6,0
108,1,0,1,48,1,1,2654,3,1,0
109,0,0,0,64,0,1,804,0,23,1
110,0,0,0,27,0,0,907,1,20,0
111,2,0,0,26,0,1,0,0,24,1
112,1,0,0,33,0,1,2640,5,4,1
113,0,0,0,39,0,0,9307,6,0,1
114,1,1,0,13,0,1,0,6,0,1
115,2,1,0,24,0,1,0,0,25,1
116,0,0,0,29,0,0,773,1,21,0
117,0,0,0,18,0,0,702,0,27,1
118,2,1,0,67,0,1,0,0,27,0
119,2,0,0,35,0,0,1022,2,7,0
120,2,0,0,61,1,0,3014,5,3,0
121,2,0,0,45,0,0,2109,2,8,0
122,0,1,2,22,0,1,0,1,22,0
123,2,1,0,19,0,1,0,0,29,0
124,2,0,0,36,0,0,2738,5,5,0
125,0,0,0,19,0,1,744,1,17,1
126,0,0,2,47,0,0,721,1,23,0
127,0,1,0,13,0,1,0,1,18,1
128,0,0,0,34,0,0,793,2,5,1
129,1,1,1,35,0,1,0,4,6,0
130,0,1,0,24,0,1,0,1,19,1
131,0,0,0,26,0,0,902,0,29,1
132,2,0,0,31,0,0,97,0,30,1
133,0,0,0,20,0,1,630,0,31,0
134,0,0,0,56,0,0,0,1,25,0
135,0,1,0,50,0,1,0,1,26,0
136,2,0,0,42,0,0,1158,0,31,1
137,0,1,1,24,0,1,0,1,27,0
138,0,1,1,38,0,0,0,1,20,1
139,0,0,0,41,0,0,607,0,32,1
140,0,0,0,22,0,0,4180,1,22,1
141,1,1,0,26,0,1,0,3,8,1
142,1,1,0,17,0,1,0,3,8,1
143,0,0,0,57,0,1,1873,1,28,0
144,0,1,2,17,0,0,0,1,28,0
145,2,1,0,35,0,1,0,0,37,1
